name,representative_food,major_category,weight,energy_kcal,carbohydrate_g,protein_g,calcium_mg,kalium_mg,iron_mg,magnesium_mg,zinc_mg,cellulose_g,aminoacid_mg,leucine_mg,methionine_mg,selenium_ug,omega3_g,vitaminA_ug,vitaminB_mg,folicacid_ug,vitaminB12_mg,vitaminC_mg,vitaminD_ug,vitaminE_mg
가지찜,가지찜,찜류,54.5ml,120,10.22,5.6,21.0,314.0,0.93,25.22,1.45,2.9,,,,,0.02,24.0,1.2770000000000001,19.71,,7.1,0.0,0.48
가지탕수,가지탕수,튀김류,195.4ml,154,21.21,2.2,21.0,187.0,0.35,14.71,0.51,2.1,,,,,0.42,3.0,0.534,12.93,,0.15,0.0,0.67
가지탕수,가지탕수,튀김류,70.2ml,171,23.56,2.4,24.0,208.0,0.39,16.34,0.57,2.4,,,,,0.47,3.0,0.593,14.36,,0.17,0.0,0.74
가지탕수,가지탕수,튀김류,195.4ml,154,21.21,2.2,21.0,187.0,0.35,14.71,0.51,2.1,,,,,0.42,3.0,0.534,12.93,,0.15,0.0,0.67
간자장,간자장,면 및 만두류,500g,125,15.13,5.12,12.0,125.0,0.54,11.68,0.89,1.5,4735.9,352.62,90.61,8.41,,0.0,0.564,9.05,0.0,4.57,0.0,
간자장,간자장,면 및 만두류,650g,127,20.65,3.44,18.0,112.0,0.01,0.0,0.0,4.4,-,0.0,0.0,0.0,,2.0,0.939,0.0,0.0,0.0,,
간자장,간자장,면 및 만두류,800ml,155,25.98,5.39,21.0,231.0,0.41,,,1.8,,,,,,3.0,0.636,19.1,,3.72,0.05,
간자장_해물,간자장,면 및 만두류,885ml,151,22.69,6.9,27.0,220.0,0.81,,,1.6,,,,,,4.0,0.832,19.21,,3.51,0.36,
간재미회무침,간재미회무침,무침류,270ml,47,6.47,4.73,54.0,154.0,0.37,,,1.3,,,,,,27.0,0.859,12.37,,2.84,0.64,
갈매기살구이_돼지고기,갈매기살구이,육류 및 채소구이류,100g,312,0.28,26.98,13.0,372.0,2.64,,,0.0,,,,,,,7.945,,,3.97,0.0,
갈비구이_소고기,갈비구이,육류 및 채소구이류,300g,241,1.59,25.91,34.0,273.0,3.92,23.76,8.21,1.8,22972.88,1865.04,401.6,29.42,,6.0,5.836,13.24,2.2,0.87,0.0,
갈비구이_돼지고기,갈비구이,육류 및 채소구이류,100g,294,5.78,19.58,46.0,254.0,0.86,,,0.0,,,,,,,5.292,,,0.75,0.0,
갈비구이_소고기,갈비구이,육류 및 채소구이류,100g,309,7.13,20.94,44.0,174.0,2.07,,,0.0,,,,,,,4.959,,,0.87,0.0,
갈비구이_소고기_양념,갈비구이,육류 및 채소구이류,300g,330,8.73,20.03,28.0,211.0,0.0,19.7,6.35,2.5,-,1577.04,481.7,42.58,,8.0,3.099,9.27,2.73,0.09,,
갈비구이_왕갈비_양념,갈비구이,육류 및 채소구이류,150g,321,9.13,18.07,21.0,189.0,0.0,17.53,5.51,0.9,-,1492.47,452.53,31.95,,6.0,0.24,6.2,0.0,0.0,,
갈비찜_소고기,갈비찜,찜류,300g,85,6.95,7.25,33.0,251.0,1.07,17.97,1.89,2.0,7056.62,622.44,48.32,10.62,,23.0,0.9770000000000001,14.76,0.65,0.42,0.0,
갈비찜_고춧가루,갈비찜,찜류,300g,172,7.9,20.43,21.0,362.0,0.0,23.49,5.64,2.8,-,1530.94,442.59,18.01,,53.0,1.161,11.32,0.0,0.47,,
갈비찜_소고기,갈비찜,찜류,250g,198,5.26,19.94,19.0,141.0,0.0,13.28,4.78,0.4,-,1714.61,477.62,0.0,,10.0,0.745,0.0,0.0,0.0,,
갈비탕,갈비탕,국 및 탕류,670g,54,0.4,8.51,14.0,106.0,1.06,6.81,2.87,1.9,8094.84,600.54,150.04,5.73,,2.0,0.76,6.62,0.67,0.0,0.0,
갈비탕,갈비탕,국 및 탕류,797ml,49,2.26,2.5,5.0,52.0,0.48,4.16,0.7,0.1,,,,,0.0,1.0,0.256,2.89,,0.55,0.0,0.04
갈비탕_소금제외,갈비탕,국 및 탕류,740ml,89,4.21,5.5,9.0,100.0,1.4,,,0.3,,,,,,3.0,0.619,6.48,,0.52,0.02,
갈비탕,갈비탕,국 및 탕류,260ml,39,2.71,2.19,6.0,59.0,0.45,,,0.2,,,,,,2.0,0.297,4.1,,0.72,0.02,
갈비탕,갈비탕,국 및 탕류,372.8ml,33,0.56,1.8,3.0,41.0,0.33,2.88,0.51,0.1,,,,,0.0,0.0,0.146,2.77,,0.55,0.0,0.03
갈비탕,갈비탕,국 및 탕류,270ml,75,2.32,4.4,7.0,74.0,0.89,5.83,1.1,0.2,,,,,0.01,4.0,0.425,5.08,,0.63,0.01,0.13
갈치구이_기름,갈치구이,생선구이류,200g,138,0.6,21.54,12.0,418.0,0.47,29.49,0.7,6.7,20822.83,1677.53,655.59,72.1,,44.0,7.26,10.81,3.03,0.96,2.29,
갈치구이_기름,갈치구이,생선구이류,100g,209,0.83,22.12,27.0,353.0,0.61,,,0.0,,,,,,,4.477,,,0.0,3.05,
갈치구이,갈치구이,생선구이류,140ml,147,0.88,12.65,32.0,179.0,0.7,,,0.0,,,,,,14.0,1.729,1.53,,0.68,6.75,
갈치구이_기름,갈치구이,생선구이류,140ml,148,0.88,12.7,32.0,179.0,0.7,21.9,0.34,0.0,,,,,1.27,14.0,1.729,1.53,,0.68,9.5,1.29
갈치구이,갈치구이,생선구이류,80ml,127,4.3,9.83,28.0,136.0,0.57,,,0.1,,,,,,9.0,1.2730000000000001,1.87,,0.45,5.09,
갈치구이_기름,갈치구이,생선구이류,80ml,128,4.3,9.8,28.0,136.0,0.57,15.57,0.28,0.1,,,,,0.9,9.0,1.2730000000000001,1.87,,0.45,6.9,0.94
갈치구이,갈치구이,생선구이류,110ml,117,3.05,9.59,26.0,134.0,0.55,,,0.1,,,,,,9.0,1.267,1.79,,0.52,4.99,
갈치구이_기름,갈치구이,생선구이류,110ml,118,3.05,9.6,26.0,134.0,0.55,15.21,0.27,0.1,,,,,0.92,9.0,1.267,1.79,,0.52,6.84,0.91
갈치구이,갈치구이,생선구이류,170ml,123,3.96,9.35,23.0,131.0,0.52,,,0.1,,,,,,10.0,1.241,1.81,,0.49,4.75,
갈치구이_기름,갈치구이,생선구이류,170ml,124,3.96,9.3,23.0,131.0,0.52,15.32,0.26,0.1,,,,,0.93,10.0,1.241,1.82,,0.49,6.67,0.95
갈치젓_양념,갈치젓,젓갈류,90g,149,10.28,15.53,256.0,728.0,1.42,196.29,1.1,6.8,12222.68,973.08,231.8,39.46,,488.0,10.079,63.58,2.59,0.0,0.0,
갈치조림_무,갈치조림,조림류,400ml,65,4.44,6.31,23.0,213.0,0.52,,,1.2,,,,,,19.0,1.104,13.28,,3.27,2.94,
갈치조림_무,갈치조림,조림류,74.5ml,118,7.39,10.8,35.0,268.0,0.73,23.28,0.48,0.6,,,,,0.82,21.0,1.6589999999999998,14.11,,2.67,5.34,0.95
갈치조림_무,갈치조림,조림류,95ml,76,4.67,7.1,24.0,222.0,0.57,18.43,0.36,1.1,,,,,0.51,23.0,1.265,11.66,,2.68,4.71,0.94
갈치찌개,갈치찌개,찌개 및 전골류,250g,38,1.95,5.27,10.0,177.0,0.23,13.4,0.21,0.8,4868.92,375.95,136.49,11.58,,11.0,0.448,14.99,0.34,2.52,0.0,
갈치찌개,갈치찌개,찌개 및 전골류,390ml,45,2.96,4.12,16.0,153.0,0.36,,,0.9,,,,,,13.0,0.771,10.41,,2.5,1.91,
갈치찌개,갈치찌개,찌개 및 전골류,293.9ml,39,2.39,3.9,16.0,105.0,0.32,14.35,0.22,0.6,,,,,0.26,16.0,0.596,6.88,,0.91,1.67,0.43
갈치찌개,갈치찌개,찌개 및 전골류,417.8ml,39,2.4,3.9,16.0,105.0,0.32,14.36,0.22,0.6,,,,,0.26,16.0,0.596,6.89,,0.91,1.67,0.43
갈치튀김,갈치튀김,튀김류,100ml,78,1.85,4.6,12.0,65.0,0.27,7.55,0.13,0.1,,,,,0.58,5.0,0.6080000000000001,1.09,,0.24,3.27,0.65
갈치튀김,갈치튀김,튀김류,100ml,78,1.85,4.6,12.0,65.0,0.27,7.55,0.13,0.1,,,,,0.58,5.0,0.6080000000000001,1.09,,0.24,3.27,0.65
감바스_간편조리세트_감바스 알 아히요,감바스,볶음류,401g,384,13.79,8.41,193.0,205.0,0.75,,,2.0,,,,,,,1.451,,,2.04,0.0,
감바스_간편조리세트_감바스 알 아히요,감바스,볶음류,641g,224,19.0,11.48,54.0,129.0,0.48,,,1.9,,,,,,,1.042,,,0.38,0.0,
감바스_간편조리세트_감바스 알 아히요,감바스,볶음류,720g,303,18.56,6.54,17.0,148.0,0.57,,,1.8,,,,,,,0.8640000000000001,,,0.29,0.0,
감자_찐감자,감자,찜류,200g,70,15.01,2.16,10.0,480.0,0.33,28.4,0.35,1.7,1847.37,93.5,20.89,1.36,,0.0,0.9949999999999999,20.31,0.0,8.1,0.0,
감자 된장국,감자 된장국,된장국류,320ml,22,3.31,1.4,24.0,105.0,0.31,9.2,0.2,0.9,,,,,0.03,1.0,0.16499999999999998,8.78,,1.9,0.01,0.04
감자 된장국_두부,감자 된장국,된장국류,193.4ml,32,4.0,2.4,32.0,161.0,0.48,21.17,0.31,1.4,,,,,0.07,2.0,0.238,16.05,,2.27,0.01,0.11
